time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-19 00:00:00+00:00,25,2,7,6
2026-08-20 00:00:00+00:00,27,3,9,7
2026-08-21 00:00:00+00:00,28,2,13,6
2026-08-22 00:00:00+00:00,24,1,3,2
2026-08-23 00:00:00+00:00,19,1,4,4
2026-08-24 00:00:00+00:00,3,2,27,7
2026-08-25 00:00:00+00:00,3,2,20,10
2026-08-26 00:00:00+00:00,6,5,25,20
2026-08-27 00:00:00+00:00,9,9,4,3
2026-08-28 00:00:00+00:00,3,3,10,6
2026-08-29 00:00:00+00:00,2,1,2,2
2026-08-30 00:00:00+00:00,0,0,1,1
2026-08-31 00:00:00+00:00,27,6,29,21
2026-09-01 00:00:00+00:00,15,7,33,10
